key,en,nl,cn
help_1_2,Guide it towards the blue line at a small 30° angle (like the yellow arrows) by giving it {menu_heading} instructions,Stuur richting de blauwe lijn met een kleine hoek van 30掳 (zoals de gele pijlen) door middel van het geven van {menu_heading}-instructies,通过给予{menu_heading}指令，以30°小角度引导飞机朝向蓝线（如黄色箭头所示）
help_1_3,"Then, enable {button_ils} mode so it will follow the blue line and land automatically",Activeer {button_ils}-modus zodat het vliegtuig de lijn vanzelf verder zal volgen,然后，启用{button_ils}模式，飞机将跟随蓝线并自动降落
help_1_4,runway,baan,跑道
help_2_1,You gain {menu_skill} points by landing planes.,Je verdient {menu_skill} punten door vliegtuigen te laten landen.,通过降落飞机获得{menu_skill}点数
help_2_2,"Just before a plane lands, it switches to tower control and then your {menu_skill} increases.",Vlak voor de landing schakelen de vlieguigen naar de toren en dan stijgt de {menu_skill}.,飞机降落前，会切换到塔台管制，然后你的{menu_skill}会增加
help_2_3,"The higher the {menu_skill} value, the more planes you will have to control at a time.","Hoe hoger de {menu_skill}, hoe meer vliegtuigen je tegelijkertijd moet begeleiden.",{menu_skill}值越高，你需要同时控制的飞机越多
help_2_4,"For example, a {menu_skill} of 8.0 will result in having 8 planes in your control.",Bijvoorbeeld: bij {menu_skill} 8.0 zul je 8 vliegtuigen moeten begeleiden.,例如，{menu_skill}为8.0时，你将控制8架飞机
help_2_5,Note: this only applies when traffic is in '{button_normal}' mode.,Maar: dit geldt alleen wanneer het verkeer op '{button_normal}' staat.,注意：这仅适用于交通处于'{button_normal}'模式时
help_2_6,tower control,zone toren,塔台管制
help_3_0,You lose {AMOUNT} {menu_skill} points when:,Je verliest {AMOUNT} {menu_skill} punten als:,在以下情况下失去{AMOUNT}点{menu_skill}：
help_3_1,Plane circles overlap while altitudes differ less than {ALT},Cirkels overlappen terwijl het hoogteverschil kleiner is dan {ALT},飞机冲突圈重叠且高度差小于{ALT}
help_3_2,A plane is going around,Doorstarts gemaakt worden,飞机复飞
help_3_3,A plane leaves the airspace (unless it's a departure flying above {ALT}),Toestellen het luchtruim verlaten (uitgezonderd departures boven {ALT}),飞机离开空域（除非是离场飞机飞行高度高于{ALT}）
help_3_4,A plane is delayed (taking over {AMOUNT} minutes to land),Vliegtuigen er langer dan {AMOUNT} minuten over doen om te landen,飞机延误（降落时间超过{AMOUNT}分钟）
help_4_1,The amount of {menu_skill} points you gain per landing plane depends on the {menu_skill} value you have at that moment:,De exacte hoeveelheid {menu_skill} die je per landing verdient hangt af van de {menu_skill} die je op dat moment hebt:,每次降落飞机获得的{menu_skill}点数取决于你当前的{menu_skill}值：
help_4_2,Skill per plane,Skill per landing,每架飞机的技评加成
help_4_3,"The main challenge is to get the {menu_skill} as high as you can. Alternatively, you can switch to {button_custom} traffic or {button_scenario} traffic via the {button_traffic} menu.",De uitdaging is om de {menu_skill} zo hoog mogelijk te krijgen. Maar je kunt ook switchen naar {button_custom} of {button_scenario} mode via het {button_traffic} menu.,主要挑战是将{menu_skill}提升到尽可能高。或者，你可以通过{button_traffic}菜单切换到{button_custom}交通或{button_scenario}交通。
hint_0_1,"Hello, air traffic controller! Your task is to guide the airplanes safely to runway {RWY}.","Hallo, luchtverkeersleider! Aan jou de taak om de vliegtuigen veilig naar landingsbaan {RWY} te begeleiden.",你好，空中交通管制员！你的任务是将飞机安全引导至{RWY}跑道。
hint_0_2,"Hello, air traffic controller! Your task is to guide the airplanes safely to the runway.","Hallo, luchtverkeersleider! Aan jou de taak om de vliegtuigen veilig naar de landingsbaan te begeleiden.",你好，空中交通管制员！你的任务是将飞机安全引导至跑道。
hint_0_3,"For beginners this radar screen may look complicated, so a bit of help will appear here. For more help, click the {button_help} button.","Dit radarscherm ziet er misschien ingewikkeld uit, daarom verschijnt hier wat hulp. Klik op de {button_help} knop voor meer uitleg.",对于初学者来说，这个雷达屏幕可能看起来很复杂，所以这里会显示一些帮助。如需更多帮助，请点击{button_help}按钮。
hint_0_airport_1,"Choose an airport, or reset the current game by doubletapping {AIRPORT}.","Kies een luchthaven, of reset het huidige spel door op {AIRPORT} te dubbelklikken.",选择一个机场，或双击{AIRPORT}重置当前游戏。
hint_0_airport_2,"Choose an airport, or reset the current game by doubleclicking {AIRPORT}.","Kies een luchthaven, of reset het huidige spel door op {AIRPORT} te dubbelklikken.",选择一个机场，或双击{AIRPORT}重置当前游戏。
hint_0_airport_3,Doubleclick {button_newgame} to reset the game. More airports available in the full version.,Dubbelklik op {button_newgame} om het spel te resetten. Meer luchthavens zijn beschikbaar in de volledige versie.,双击{button_newgame}重置游戏。完整版提供更多机场。
hint_0_airport_4,Doubletap {button_newgame} to reset the game.,Dubbelklik op {button_newgame} om het spel te resetten.,双击{button_newgame}重置游戏。
hint_0_circles,"For safety, make sure the circles do not overlap, or altitudes differ at least {ALT}.","Voor de veiligheid moet je ervoor zorgen dat de cirkels niet overlappen, tenzij de hoogtes minimaal {ALT} verschillen.",为了安全，确保冲突圈不重叠，或高度差至少为{ALT}。
hint_0_colors,Change the appearance of the game by toggling the color buttons.,Klik op de knoppen om de kleuren te veranderen.,通过切换颜色按钮更改游戏外观。
hint_0_conflict_1,"Resolve the conflict: create {ALT} difference in altitude, or divert headings.","Los het conflict op: zorg voor een hoogteverschil van {ALT}, of laat ze van elkaar af vliegen.",解决冲突：创建{ALT}的高度差，或改变航向。
hint_0_conflict_2,Resolve the conflict: create more distance behind heavy aircraft.,Los het conflict op: zorg voor meer afstand achter zware vliegtuigen.,解决冲突：在重型飞机后方保持更大距离。
hint_0_conflict_3,Resolve the violation: make sure the plane flies above or outside the restricted area.,Los het conflict op: zorg ervoor dat vliegtuigen buiten of boven de gebieden met restricties vliegen.,解决违规：确保飞机在限制区域上方或外部飞行。
hint_0_conflict_4,Planes should not fly into thunderstorms.,Vliegtuigen mogen niet door onweersbuien vliegen.,飞机不应飞入雷暴区。
hint_0_customairport_1,"This is a custom airport, therefore high scores and goals are disabled.","Dit is een custom airport, daarom zijn high scores/goals uitgeschakeld.",这是自定义机场，因此高分和目标已禁用。
hint_0_customairport_2,"Custom traffic has been enabled in current game, therefore high scores are disabled.","Customverkeer is gebruikt in dit spel, daarom zijn high scores uitgeschakeld.",当前游戏已启用自定义交通，因此高分已禁用。
hint_0_demo,"Because this is a demo version, games/scores are not saved, and there is only one airport available.","Omdat dit een demo-versie is, wordt het spel niet opgeslagen, en is er slechts 1 vliegveld beschikbaar.",因为这是演示版，游戏/分数不会保存，且只有一个机场可用。
hint_0_departure_1,Departures leave the airspace incorrectly if they fly at or below {ALT} when passing the boundary.,Departures verlaten het luchtruim op een verkeerde manier als ze op {ALT} of lager vliegen wanneer ze de grens passeren.,离场飞机在通过边界时如果飞行高度在{ALT}或以下，则错误离开空域。
hint_0_departure_2,Departures leave the airspace incorrectly if they fly at or below {ALT} when passing the outer circle.,Departures verlaten het luchtruim op een verkeerde manier als ze op {ALT} of lager vliegen wanneer ze de cirkel passeren.,离场飞机在通过外圈时如果飞行高度在{ALT}或以下，则错误离开空域。
hint_0_direct,"By dragging from a plane you can easily set a heading, or give a direct to a beacon.","Door te slepen vanaf een vliegtuig kun je gemakkelijk een heading selecteren, of een direct geven naar een baken.",通过从飞机拖动，可以轻松设置航向，或给予直飞信标的指令。
hint_0_display,Customize display settings here.,Hier kun je de weergave van de radar veranderen.,在此自定义显示设置。
hint_0_glideslope,"The blue circles indicate the glideslope altitudes: {ALT1}, {ALT2}, {ALT3}.","De blauwe cirkels geven de hoogte van de glideslope aan: {ALT1}, {ALT2}, {ALT3}.",蓝色圆圈表示下滑道高度：{ALT1}、{ALT2}、{ALT3}。
hint_0_ils_1,"Guide planes to the ILS (Instrument Landing System), which is the blue line leading extending from runway.","Begeleid vliegtuigen naar het ILS (Instrument Landing System), dat wordt weergeven met de blauwe lijn in het verlengde van de landingsbaan.",引导飞机至ILS（仪表着陆系统），即从跑道延伸出的蓝线。
hint_0_ils_2,Guide planes to the blue ILS line (Instrument Landing System) to increase your skill value.,Begeleid vliegtuigen naar het ILS (Instrument Landing System) om je skill te verhogen.,引导飞机至蓝色ILS线（仪表着陆系统）以提高技评。
hint_0_ils_3,"Guide the planes safely to the blue ILS path, with enough spacing between them.","Begeleid vliegtuigen veilig naar het blauwe ILS pad, met voldoende ruimte tussen de vliegtuigen.",安全引导飞机至蓝色ILS路径，保持足够间距。
hint_0_newgame_1,"To start a new game, go to the {button_airport} menu and doubletap on an airport button.","Om een nieuw spel te starten, ga je naar het menu {button_airport} en dubbelklik je op een vliegveld.",要开始新游戏，请转到{button_airport}菜单并双击机场按钮。
hint_0_newgame_2,"To start a new game, go to the {button_airport} menu and doubleclick on an airport button.","Om een nieuw spel te starten, ga je naar het menu {button_airport} en dubbelklik je op een vliegveld.",要开始新游戏，请转到{button_airport}菜单并双击机场按钮。
hint_0_pause,"If you want to pause, press Esc.","Als je wilt pauzeren, druk dan op Esc.",如需暂停，请按Esc键。
hint_0_rate,"Speech rate can be set to automatic (it will depend on traffic and sim speed), or fixed (for a constant speech rate).","Spraaksnelheid kan automatisch geregeld worden (op basis van simulatiesnelheid en verkeersdrukte), of handmatig (vaste spraaksnelheid).",语音速率可设置为自动（取决于交通和模拟速度）或固定（恒定语音速率）。
hint_0_realism,"In this menu you can change various settings to make the game more realistic, but also harder to play.","In dit menu kun je verschillende instellingen aanpassen om het spel realistischer te maken, maar ook moeilijker om te spelen.",在此菜单中，您可以更改各种设置使游戏更真实，但也更难玩。
hint_0_runways_1,"To open more runways, go to the {button_runways} menu and increase the {menu_runways_8} value.","Als je meer landingsbanen wilt openen, ga je naar het {button_runways} menu en verhoog je de {menu_runways_8} handmatig.",要开放更多跑道，请转到{button_runways}菜单并增加{menu_runways_8}值。
hint_0_runways_2,You can change which runways are in use; see the {button_airport} menu.,Je kan kiezen welke banen in gebruik zijn in het menu {button_airport}.,您可以更改正在使用的跑道；参见{button_airport}菜单。
hint_0_runways_3,"Here you can choose a runway configuration. And the higher your score, the more runways will be available.","Hier kun je een baanconfiguratie instellen. En hoe hoger je score, hoe meer banen actief zullen zijn.",在此选择跑道配置。您的分数越高，可用的跑道越多。
hint_0_runways_4,"Here you can choose a configuration, and set the number of active runways by changing the {menu_runways_8} value.","Hier kun je een baanconfiguratie instellen, en het aantal actieve banen kun je instellen door {menu_runways_8} te veranderen.",在此选择配置，并通过更改{menu_runways_8}值设置活动跑道数量。
hint_0_save,"When you leave the game, progress will be saved automatically.","Als je het spel afsluit, zal je voortgang vanzelf opgeslagen worden.",离开游戏时，进度将自动保存。
hint_0_save_2,Full version has autosave and multiple airports.,"De volledige versie slaat het spel op bij afsluiten, en heeft meerdere luchthavens.",完整版具有自动保存和多个机场。
hint_0_scenario_1,"Scenario mode is pretty difficult, as you need to land {AMOUNT} planes without mistakes.","De scenariomodus is best moeilijk, want je moet alle {AMOUNT} vliegtuigen laten landen zonder fouten te maken.",场景模式相当困难，因为您需要无错误降落{AMOUNT}架飞机。
hint_0_scenario_2,"The scenario mode is all about trying to land all planes without making any mistakes, which is a big challenge.",In de scenariomodus draait alles om het landen van alle vliegtuigen zonder fouten te maken. Het kan een grote uitdaging zijn.,场景模式的核心是尝试无错误降落所有飞机，这是一个巨大的挑战。
hint_0_scenario_3,"In scenario mode, the traffic is not random.",In scenariomode is het verkeer niet willekeurig.,在场景模式中，交通不是随机的。
hint_0_score,Your {menu_score} will be equal to the highest {menu_skill} you have had in this game.,Je {menu_score} is gelijk aan de hoogste {menu_skill} die je hebt behaald in dit spel.,您的{menu_score}将等于您在本游戏中达到的最高{menu_skill}。
hint_0_scroll,"Tip: Use scroll button to zoom or set altitude, and click to OK.","Tip: Gebruik het scrollwiel om te zoomen of de hoogte te veranderen, en klik erop voor OK.",提示：使用滚轮按钮缩放或设置高度，点击确认。
hint_0_select_1,Tap on an airplane to select it and give it instructions. A bit of help will appear here.,"Druk op een vliegtuig om het te selecteren, en geef het instructies. Hier zal wat hulp verschijnen.",点击飞机以选择它并给予指令。此处将显示一些帮助。
hint_0_select_2,Click on an airplane to select it and give it instructions. A bit of help will appear here.,"Klik op een vliegtuig om het te selecteren, en geef het instructies. Hier zal wat hulp verschijnen.",点击飞机以选择它并给予指令。此处将显示一些帮助。
hint_0_skill,"The higher the {menu_skill} value, the more planes you will have to control.","Hoe hoger de {menu_skill}, hoe meer vliegtuigen je tegelijkertijd moet begeleiden.",{menu_skill}值越高，您需要控制的飞机越多。
hint_0_sound_1,"To enable pilot speech output, set {button_sound} mode to 2 or 3.","Om de piloten te horen spreken, zet je de {button_sound}mode op 2 of 3.",要启用飞行员语音输出，将{button_sound}模式设置为2或3。
hint_0_sound_2,"To enable pilot readback, see the {button_sound} menu and tap the {button_readbacks} button.","Om de piloten te horen antwoorden, zie het menu {button_sound} en klik op {button_readbacks}.",要启用飞行员复诵，请参见{button_sound}菜单并点击{button_readbacks}按钮。
hint_0_sound_3,"To enable pilot readback, see the {button_sound} menu and click on the {button_readbacks} button.","Om de piloten te horen antwoorden, zie het menu {button_sound} en klik op {button_readbacks}.",要启用飞行员复诵，请参见{button_sound}菜单并点击{button_readbacks}按钮。
hint_0_sound_4,Tap on the {button_sound} button to toggle between 3 sound modes. Tap {button_off} to mute all sounds.,Klik op de knop {button_sound} om te switchen tussen 3 geluidsmodi. Klik {button_off} om alle geluiden uit te zetten.,点击{button_sound}按钮在3种播报模式间切换。点击{button_off}静音所有播报。
hint_0_sound_5,Click on the {button_sound} button to toggle between 3 sound modes. Click {button_off} to mute all sounds.,Klik op de knop {button_sound} om te switchen tussen 3 geluidsmodi. Klik {button_off} om alle geluiden uit te zetten.,点击{button_sound}按钮在3种播报模式间切换。点击{button_off}静音所有播报。
hint_0_speed_1,Here you can adjust the simulation speed. For new players it's best to keep the {button_speed} at 1x ({button_realtime}).,Hier kun je de simulatiesnelheid aanpassen. Voor nieuwe spelers is het het best om {button_speed} op 1x ({button_realtime}) te houden.,在此调整模拟速度。对于新玩家，最好将{button_speed}保持在1x（{button_realtime}）。
hint_0_speed_2,Press Esc to pause.,Druk op Esc om te pauzeren.,按Esc暂停。
hint_0_speed_3,"Simulation speed is increased. Tap the {button_menu} button, then {button_speed}, to slow the game down.","De simulatiesnelheid is verhoogd. Klik op {button_menu}, dan {button_speed}, om het spel langzamer te maken.",模拟速度已提高。点击{button_menu}按钮，然后点击{button_speed}，以减慢游戏速度。
hint_0_speed_4,"Simulation speed is increased. Click the {button_menu} button, then {button_speed}, to slow the game down (or press {KEY}).","De simulatiesnelheid is verhoogd. Klik op {button_menu}, dan {button_speed}, om het spel langzamer te maken (of druk op {KEY}).",模拟速度已提高。点击{button_menu}按钮，然后点击{button_speed}，以减慢游戏速度（或按{KEY}）。
hint_0_sweep,The radar sweep setting lets you set the rate at which plane locations are updated.,De sweepinstelling van de radar bepaalt hoe vaak de locaties van vliegtuigen geupdate worden.,雷达扫描设置让您设置飞机位置更新的频率。
hint_0_swipe,Tip: Swipe from a plane to easily set a heading.,Tip: Swipe vanaf een vliegtuig om makkelijk een heading te selecteren.,提示：从飞机滑动以轻松设置航向。
hint_0_timer_1,The timer will run out when either {menu_timer_6} or {menu_timer_7} is at zero.,De timer zal afgelopen zijn wanneer {menu_timer_6} of {menu_timer_7} op nul komt.,当{menu_timer_6}或{menu_timer_7}为零时，计时器将结束。
hint_0_timer_2,The timer lets you keep track of playtime and determines on what conditions the game is finished.,"De timer kan je helpen met het bijhouden van je speeltijd, of bepalen op welk moment het spel afgelopen is.",计时器让您跟踪游戏时间，并确定游戏结束的条件。
hint_0_traffic_1,"There are 3 traffic modes. In {button_normal} mode, the amount of traffic will adapt automatically to your skill level, and you can set a high score.","Er zijn 3 verkeersmodi: In mode {button_normal} zal de hoeveelheid verkeer zich automatisch aanpassen aan je skill, en dan kun je een highscore neerzetten.",有3种交通模式。在{button_normal}模式中，交通量会自动适应您的技能评分，您可以设置高分。
hint_0_traffic_2,"In {button_normal} mode, the amount of traffic will adapt automatically to your skill level, and you can set a high score. In {button_custom} mode, the traffic can be adjusted manually.","Er zijn 3 verkeersmodi: In mode {button_normal} zal de hoeveelheid verkeer zich automatisch aanpassen aan je skill, en dan kun je een highscore neerzetten. In mode {button_custom} kun je het verkeer handmatig instellen.",在{button_normal}模式中，交通量会自动适应您的技能水平，您可以设置高分。在{button_custom}模式中，可以手动调整交通。
hint_0_traffic_3,"Here you can customize the amount of traffic, by selecting one of the four custom traffic modes.","Hier kun je de verkeersdrukte instellen, door 1 van de 4 modi te selecteren.",在此通过选择四种自定义交通模式之一来自定义交通量。
hint_0_weather_1,The weather cannot be changed in {button_scenario} mode.,Het weer kan niet veranderd worden in {button_scenario} mode.,在{button_scenario}模式中无法更改天气。
hint_0_weather_2,"Here you can set the wind direction and wind speed, enable clouds, or change the air pressure.","Hier kun je de windsnelheid en windrichting instellen, wolken toevoegen, en de luchtdruk aanpassen.",在此设置风向和风速，启用云层，或更改气压。
hint_0_weather_3,Swipe from the {button_clouds} button to put clouds at a specific location.,Swipe vanaf de knop {button_clouds} om een wolk op een specifieke locatie te plaatsen.,从{button_clouds}按钮滑动以在特定位置放置云层。
hint_0_weather_4,Press the {button_wind} button to set random wind direction and speed.,Druk op de knop {button_wind} om random wind aan te zetten.,按下{button_wind}按钮设置随机风向和风速。
hint_0_workload,"If you don't like a high workload, enable {button_custom} mode in the {button_traffic} menu to limit the rate of traffic.","Als het je te druk wordt, schakel dan naar {button_custom} in het {button_traffic} menu om de verkeersstroom te verminderen.",如果您不喜欢高工作负荷，请在{button_traffic}菜单中启用{button_custom}模式以限制交通速率。
hint_0_zoom_1,Double tap or pinch to zoom out.,Dubbelklik of gebruik twee vingers om uit te zoomen.,双击或捏合以缩小。
hint_0_zoom_2,Double click or scroll to zoom out.,Dubbelklik of scroll om uit te zoomen.,双击或滚动以缩小。
hint_1_above,Alright! The plane will climb out of your airspace when passing {ALT}.,Prima! Het vliegtuig zal het luchtruim uitklimmen wanneer het {ALT} passeert.,好的！飞机通过{ALT}时将爬升离开您的空域。
hint_1_app_1,"OK, this plane is on an approach route: it descends and steers automatically to the ILS.","Ok, dit vliegtuig volgt een approachroute: het stuurt automatisch totdat het het ILS zal volgen.",好的，这架飞机在进近航路上：它会下降并自动转向ILS。
hint_1_app_2,Approach beacon selected: press the {button_app} button to get a route towards the ILS.,Approachbaken geselecteerd: druk op {button_app} om de route naar het ILS te selecteren.,已选择进近信标：按下{button_app}按钮获取前往ILS的航路。
hint_1_app_3,Press {button_ok} to let the plane fly the approach route to the runway.,Druk op {button_ok} om het vliegtuig de approachroute naar de landingsbaan te laten volgen.,按下{button_ok}让飞机飞向跑道的进近航路。
hint_1_areas,Mind the minimum altitudes in certain areas.,Let op de minimumhoogtes die gelden in sommige gebieden.,注意某些区域的最低高度。
hint_1_arrival,"OK, this plane is on an arrival route: it descends and steers automatically until the end of the route.","Ok, dit vliegtuig volgt een arrivalroute: het stuurt automatisch tot aan het einde van de route.",好的，这架飞机在进场航路上：它会下降并自动转向直到航路结束。
hint_1_busy,This plane is not ready for approach yet; it needs more time to prepare for landing.,Dit vliegtuig is nog niet klaar voor de landing; het heeft meer tijd nodig ter voorbereiding.,这架飞机尚未准备好进近；需要更多时间准备降落。
hint_1_capture,Guide the plane to the blue ILS line by giving it {menu_headings}. Then activate {button_ils} mode to make the plane capture the blue line.,Begeleid het vliegtuig naar de blauwe ILS-lijn door het {menu_headings} te geven. Daarna activeer je {button_ils}-modus om het vliegtuig de blauwe lijn te laten volgen.,通过给予{menu_headings}引导飞机至蓝色ILS线。然后激活{button_ils}模式使飞机捕获蓝线。
hint_1_clearance_1,Press {button_ok} (or click scroll wheel) to give the clearance to the plane.,Druk op {button_ok} (of klik op het scrollwiel) om de klaring aan het vliegtuig te geven.,按下{button_ok}（或点击滚轮）给予飞机许可。
hint_1_clearance_2,Press {button_ok} to give the climb clearance to the plane.,Druk op {button_ok} om je toestemming om te klimmen aan het vliegtuig te geven.,按下{button_ok}给予飞机爬升许可。
hint_1_climb_1,Let this departure climb to {ALT} when it's safe to do so.,Laat dit vliegtuig klimmen naar {ALT} wanneer dat veilig kan.,当安全时，让这架离场飞机爬升至{ALT}。
hint_1_climb_2,Let this departure climb to {ALT}.,Laat dit vliegtuig klimmen naar {ALT}.,让这架离场飞机爬升至{ALT}。
hint_1_climb_3,Let this departure climb to {ALT}. That's all you have to do for departures.,Laat dit vliegtuig klimmen naar {ALT}. Dat is alles wat je voor departures hoeft te doen.,让这架离场飞机爬升至{ALT}。这就是您需要为离场飞机做的全部。
hint_1_climb_4,This departing plane needs to climb above {ALT} before it reaches the airspace boundary.,Dit vertrekkende vliegtuig moet klimmen tot boven de {ALT} voordat het de rand van het luchtruim bereikt.,这架离场飞机需要在到达空域边界前爬升至{ALT}以上。
hint_1_closed,This plane is diverting due to airspace closure. No action required.,Dit vliegtuig wijkt uit omdat het luchtruim gesloten is. Geen actie nodig.,这架飞机因空域关闭而改航。无需操作。
hint_1_danger_alt,"This plane is in danger: create {ALT} difference in altitude, or divert headings.","Dit vliegtuig is in gevaar: zorg voor {ALT} verschil in hoogte, of stuur de vliegtuigen van elkaar af.",这架飞机处于危险中：创建{ALT}的高度差，或改变航向。
hint_1_danger_area,This plane is flying in a restricted airspace. Climb or turn around.,Dit vliegtuig vliegt in een gebied met restricties. Laat het klimmen of keer het om.,这架飞机在限制空域中飞行。爬升或转向。
hint_1_danger_cloud,This plane is flying through a thunderstorm. Avoid these clouds.,Dit vliegtuig vliegt door onweerswolken heen. Vermijd het vliegen door wolken.,这架飞机正飞过雷暴区。避开这些云层。
hint_1_danger_wake,This plane is in danger due to wake turbulence caused by a heavy preceding aircraft.,Dit vliegtuig is in gevaar als gevolg van turbulentie achter een zwaar vliegtuig.,这架飞机因前方重型飞机引起的尾流湍流而处于危险中。
hint_1_descend_1,Set the {menu_altitude} to about {ALT} metres to make an ILS approach possible.,Selecteer een {menu_altitude} van ongeveer {ALT} meter om een ILS nadering mogelijk te maken.,将{menu_altitude}设置为约{ALT}米以使ILS进近成为可能。
hint_1_descend_2,Set the {menu_altitude} to about {ALT} to make an ILS approach possible.,Selecteer een {menu_altitude} van ongeveer {ALT} om een ILS nadering mogelijk te maken.,将{menu_altitude}设置为约{ALT}以使ILS进近成为可能。
hint_1_descend_3,Give this arriving plane the instruction to descend: lower its {menu_altitude} to prepare the plane for a landing on runway {RWY}.,Geef dit inkomende vliegtuig de instructie om te dalen: verlaag de {menu_altitude} om het vliegtuig voor te bereiden op een landing op baan {RWY}.,给予这架进场飞机下降指令：降低其{menu_altitude}以为在{RWY}跑道降落做准备。
hint_1_descend_4,Give this arriving plane the instruction to descend.,Geef dit inkomende vliegtuig de instructie om te dalen.,给予这架进场飞机下降指令。
hint_1_deviate,You can deviate this plane from its standard route by giving it a heading.,Je kunt dit vliegtuig van de standaardroute laten afwijken door het een heading te geven.,您可以通过给予航向来使这架飞机偏离标准航路。
hint_1_direct,"{DCT}, or direct mode, lets the plane fly to the selected beacon.","{DCT}, of direct modus, laat het vliegtuig naar het geselecteerde baken vliegen.",{DCT}，或直飞模式，让飞机飞向选定的信标。
hint_1_distance,"Plane is heading for the localizer, but the distance to the runway may be too short for a safe approach.","Het vliegtuig nadert de localizer, maar de afstand tot the landingsbaan kan te kort zijn voor een veilige landing.",飞机正飞向定位器，但到跑道的距离可能太短，无法安全进近。
hint_1_divert,This departing plane left has the airspace incorrectly.,Dit vliegtuig heeft het luchtruim onjuist verlaten.,这架离场飞机错误地离开了空域。
hint_1_diverted,"Oops, this plane has left the airspace.","Oeps, dit vliegtuig heeft het luchtruim verlaten.",糟糕，这架飞机已离开空域。
